type_var,YEAR,typeTotal
atlantic mackerel,2002,71.211
atlantic mackerel,2003,51.752
atlantic mackerel,2004,60.15
atlantic mackerel,2005,54.544
atlantic mackerel,2006,43.849
atlantic mackerel,2007,36.1867
atlantic mackerel,2008,41.1971
atlantic mackerel,2009,45.276
atlantic mackerel,2010,281.48661
atlantic mackerel,2011,219.83875
atlantic mackerel,2012,279.29222
atlantic mackerel,2013,230.15146
atlantic mackerel,2014,432.66602
atlantic mackerel,2015,446.01152
atlantic mackerel,2016,358.173905
atlantic mackerel,2017,448.67585
blue whiting,1950,0
blue whiting,1951,0
blue whiting,1952,0
blue whiting,1953,0
blue whiting,1954,0
blue whiting,1955,0
blue whiting,1956,0
blue whiting,1957,0
blue whiting,1958,0
blue whiting,1959,0
blue whiting,1960,0
blue whiting,1961,0
blue whiting,1962,0
blue whiting,1963,0
blue whiting,1964,0
blue whiting,1965,0
blue whiting,1966,0
blue whiting,1967,0
blue whiting,1968,0
blue whiting,1969,10.071
blue whiting,1970,14.806
blue whiting,1971,31.478
blue whiting,1972,0.028
blue whiting,1973,0.878
blue whiting,1974,0.022
blue whiting,1975,6.705
blue whiting,1976,2.459
blue whiting,1977,48.638
blue whiting,1978,182.753
blue whiting,1979,698.51
blue whiting,1980,753.536
blue whiting,1981,493.157
blue whiting,1982,110.545
blue whiting,1983,52.961
blue whiting,1984,65.783
blue whiting,1985,90.689
blue whiting,1986,159.945
blue whiting,1987,113.696
blue whiting,1988,55.913
blue whiting,1989,36.602
blue whiting,1990,2.106
blue whiting,1991,39.365
blue whiting,1992,46.102
blue whiting,1993,40.022
blue whiting,1994,22.672
blue whiting,1995,22.685
blue whiting,1996,24.885
blue whiting,1997,43.436
blue whiting,1998,69.189
blue whiting,1999,108.852
blue whiting,2000,115.051
blue whiting,2001,440.784
blue whiting,2002,345.979
blue whiting,2003,667.362
blue whiting,2004,635.44
blue whiting,2005,295.432
blue whiting,2006,240.1841
blue whiting,2007,149.247
blue whiting,2008,73.0078
blue whiting,2009,45.3557
blue whiting,2010,34.89576
blue whiting,2011,18.74518
blue whiting,2012,22.18822
blue whiting,2013,29.31907
blue whiting,2014,43.57658
blue whiting,2015,116.56993
blue whiting,2016,45.583263
blue whiting,2017,87.186461
capelin,1950,0
capelin,1951,0
capelin,1952,0
capelin,1953,0
capelin,1954,0
capelin,1955,0
capelin,1956,0
capelin,1957,0
capelin,1958,17.678
capelin,1959,31.452
capelin,1960,13.508
capelin,1961,110.996
capelin,1962,0.254
capelin,1963,0
capelin,1964,0
capelin,1965,21.462
capelin,1966,109.027
capelin,1967,91.516
capelin,1968,57.333
capelin,1969,277.129
capelin,1970,586.089
capelin,1971,949.969
capelin,1972,1114.202
capelin,1973,195.607
capelin,1974,374.6
capelin,1975,198.864
capelin,1976,677.333
capelin,1977,822.487
capelin,1978,662.531
capelin,1979,965.324
capelin,1980,946.74
capelin,1981,991.206
capelin,1982,933.898
capelin,1983,1812.428
capelin,1984,1102.045
capelin,1985,355.505
capelin,1986,73.97
capelin,1987,14.651
capelin,1988,108.91
capelin,1989,27.912
capelin,1990,8.147
capelin,1991,427.232
capelin,1992,209.525
capelin,1993,223.733
capelin,1994,0.398
capelin,1995,0
capelin,1996,25.731
capelin,1997,14.734
capelin,1998,7.768
capelin,1999,31.008
capelin,2000,180.026
capelin,2001,248.45
capelin,2002,102.855
capelin,2003,345.819
capelin,2004,16.942
capelin,2005,8.374
capelin,2006,0.016
capelin,2007,3.101
capelin,2008,3.66
capelin,2009,63.862
capelin,2010,88.03046
capelin,2011,176.18978
capelin,2012,294.45403
capelin,2013,76.76783
capelin,2014,70.82207
capelin,2015,62.851526
capelin,2016,1.7817
capelin,2017,0.0026
haddock,1950,35.925
haddock,1951,38.343
haddock,1952,29.383
haddock,1953,22.75
haddock,1954,37.447
haddock,1955,54.407
haddock,1956,59.942
haddock,1957,44.354
haddock,1958,44.576
haddock,1959,40.912
haddock,1960,38.749
haddock,1961,36.753
haddock,1962,35.984
haddock,1963,34.281
haddock,1964,31.075
haddock,1965,44.589
haddock,1966,53.932
haddock,1967,38.914
haddock,1968,57.331
haddock,1969,52.959
haddock,1970,34.846
haddock,1971,29.786
haddock,1972,30.232
haddock,1973,58.827
haddock,1974,82.889
haddock,1975,75.225
haddock,1976,44.322
haddock,1977,41.133
haddock,1978,28.415
haddock,1979,48.136
haddock,1980,39.348
haddock,1981,46.257
haddock,1982,31.319
haddock,1983,18.332
haddock,1984,16.954
haddock,1985,15.044
haddock,1986,32.542
haddock,1987,44.784
haddock,1988,49.671
haddock,1989,28.546
haddock,1990,13.764
haddock,1991,18.321
haddock,1992,29.3
haddock,1993,34.293
haddock,1994,58.3
haddock,1995,70.331
haddock,1996,66.752
haddock,1997,77.546
haddock,1998,56.044
haddock,1999,45.019
haddock,2000,42.353
haddock,2001,54.037
haddock,2002,54.189
haddock,2003,51.739
haddock,2004,60.087
haddock,2005,64.646
haddock,2006,78.9246
haddock,2007,83.3311
haddock,2008,89.7658
haddock,2009,140.6759
haddock,2010,185.60799
haddock,2011,229.56748
haddock,2012,232.53093
haddock,2013,128.85303
haddock,2014,121.19957
haddock,2015,121.572176
haddock,2016,155.735887
haddock,2017,137.687452
saithe,1950,22.387
saithe,1951,75.493
saithe,1952,103.077
saithe,1953,100.509
saithe,1954,90.046
saithe,1955,90.106
saithe,1956,97.182
saithe,1957,111.481
saithe,1958,97.941
saithe,1959,115.02
saithe,1960,114.474
saithe,1961,89.591
saithe,1962,109.778
saithe,1963,127.818
saithe,1964,143.538
saithe,1965,169.451
saithe,1966,193.309
saithe,1967,167.957
saithe,1968,95.789
saithe,1969,127.45
saithe,1970,236.099
saithe,1971,209.881
saithe,1972,168.054
saithe,1973,183.976
saithe,1974,227.422
saithe,1975,193.539
saithe,1976,217.02
saithe,1977,162.942
saithe,1978,139.955
saithe,1979,146.653
saithe,1980,129.972
saithe,1981,164.61
saithe,1982,157.797
saithe,1983,148.997
saithe,1984,150.034
saithe,1985,99.779
saithe,1986,61.681
saithe,1987,73.803
saithe,1988,95.107
saithe,1989,107.304
saithe,1990,88.915
saithe,1991,93.152
saithe,1992,114.002
saithe,1993,127.146
saithe,1994,133.424
saithe,1995,150.699
saithe,1996,153.607
saithe,1997,134.329
saithe,1998,139.217
saithe,1999,132.432
saithe,2000,123.285
saithe,2001,125.39
saithe,2002,139.904
saithe,2003,146.619
saithe,2004,144.418
saithe,2005,161.55
saithe,2006,197.8446
saithe,2007,178.85361
saithe,2008,169.36521
saithe,2009,148.43362
saithe,2010,178.08923
saithe,2011,141.71317
saithe,2012,143.4978
saithe,2013,110.78656
saithe,2014,115.46047
saithe,2015,116.415517
saithe,2016,112.389054
saithe,2017,119.314691
other,1950,125.958
other,1951,110.761
other,1952,93.491
other,1953,92.639
other,1954,127.124
other,1955,87.204
other,1956,133.059
other,1957,146.601
other,1958,145.663
other,1959,261.73
other,1960,175.067
other,1961,138.676
other,1962,117.329
other,1963,164.42
other,1964,174.197
other,1965,205.396
other,1966,159.995
other,1967,159.047
other,1968,149.551
other,1969,168.347
other,1970,252.345
other,1971,245.295
other,1972,187.875
other,1973,165.741
other,1974,219.301
other,1975,372.746
other,1976,419.688
other,1977,320.051
other,1978,278.696
other,1979,301.002
other,1980,221.283
other,1981,208.693
other,1982,258.216
other,1983,269.689
other,1984,292.511
other,1985,272.795
other,1986,206.89
other,1987,202.683
other,1988,186.264
other,1989,162.817
other,1990,209.053
other,1991,211.643
other,1992,151.743
other,1993,131.715
other,1994,117.258
other,1995,122.106
other,1996,123.287
other,1997,110.808
other,1998,140.785
other,1999,151.784
other,2000,135.542
other,2001,145.107
other,2002,112.267
other,2003,92.875
other,2004,118.242
other,2005,114.298
other,2006,142.08019
other,2007,117.78103
other,2008,135.90412
other,2009,147.373
other,2010,131.44399
other,2011,134.35975
other,2012,122.43338
other,2013,127.79724
other,2014,123.24391
other,2015,134.002264
other,2016,156.317799
other,2017,118.356264
