Year,FisheriesGuild,variable,value
2018,demersal,guildLandings,59570.978
2018,elasmobranch,guildLandings,1.056
2018,pelagic,guildLandings,228763.088
2018,demersal,guildDiscards,0
2018,elasmobranch,guildDiscards,0.801
2018,pelagic,guildDiscards,46.971
